Country,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Latin America & Caribbean (developing only),LAC,7.30990791440157E+10,7.68006226203907E+10,8.85574862190468E+10,8.87055555974346E+10,9.88267420426161E+10,1.07117902657806E+11,1.17398841426713E+11,1.20363145519913E+11,1.30028305963424E+11,1.45091847529756E+11,1.57555277895927E+11,1.74822370775719E+11,1.98015360458076E+11,2.58430533287185E+11,3.43911700976143E+11,3.70468436861235E+11,4.10817313867324E+11,4.49271916680444E+11,5.09043680909541E+11,6.01850329571885E+11,7.09160862931681E+11,8.17393170687268E+11,7.68544920036708E+11,6.83936841559802E+11,6.72303774644339E+11,6.94550812521263E+11,7.06194490538621E+11,7.38783666708592E+11,8.45610309672910E+11,9.24180647523627E+11,1.07982721955681E+12,1.14398982919911E+12,1.23518924263567E+12,1.44420898322257E+12,1.64914928383164E+12,1.74082597021946E+12,1.88290251064840E+12,2.06042822847108E+12,2.06420219936251E+12,1.85487762580406E+12,2.05935431892469E+12,2.00713133025190E+12,1.79098660287626E+12,1.83533111945717E+12,2.13399562264941E+12,2.59208591889980E+12,3.04293456173074E+12,3.60972517167122E+12,4.21348021317724E+12,3.94993582771751E+12,4.89706278688422E+12,5.48824601346057E+12,5.47245237825749E+12,5.65737172740043E+12,0
Latvia,LVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71585365287783E+09,6.82701105896701E+09,7.69031558914665E+09,7.44700285675530E+09,6.75641826369451E+09,4.84805677231365E+09,4.46798727130202E+09,5.06085473105477E+09,5.23571977867160E+09,5.58529278256922E+09,6.13323417975373E+09,6.61695768124198E+09,7.28852447250101E+09,7.83306842539159E+09,8.31304774357121E+09,9.31478408002692E+09,1.11864526007262E+10,1.37615695449926E+10,1.60418404262666E+10,1.99350463972163E+10,2.87656870416504E+10,3.36693677204659E+10,2.58757812500000E+10,2.40096804599868E+10,2.84803383676157E+10,2.83725776965265E+10,3.09566916275877E+10,0
Least developed countries: UN classification,LDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15502821567634E+11,1.16012592792090E+11,1.15985352998563E+11,1.08462422567009E+11,1.09118939937446E+11,1.18343806715929E+11,1.28436591005248E+11,1.41601642517405E+11,1.44745491882147E+11,1.46547808888782E+11,1.52393947169374E+11,1.56930692738489E+11,1.38447262830141E+11,1.40152227344333E+11,1.30607637193183E+11,1.48933109361390E+11,1.58775623085604E+11,1.68095361774583E+11,1.68786874066007E+11,1.70262368198384E+11,1.94094586625664E+11,1.86106492741905E+11,2.01016842287484E+11,2.25333958068675E+11,2.62896522921702E+11,3.09152807369140E+11,3.70797351988013E+11,4.60586992227453E+11,5.67108865598369E+11,5.64191563660166E+11,6.32271237249397E+11,7.13247580610103E+11,7.57970416725371E+11,8.20034625921392E+11,0
Lebanon,LBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31353997909333E+09,2.71799871304560E+09,2.83848539788652E+09,4.45149733741987E+09,5.54592182095553E+09,7.53525991442769E+09,9.59912718945126E+09,1.17187953520579E+10,1.36902171205605E+10,1.57518674894446E+10,1.72471794832157E+10,1.73910564368069E+10,1.72603648424544E+10,1.76497512437811E+10,1.91522388059701E+10,2.00829187396352E+10,2.09552238805970E+10,2.12875621890547E+10,2.17963515754561E+10,2.45771144278607E+10,2.88298507462687E+10,3.51396351575456E+10,3.80099502487562E+10,4.00789386401327E+10,4.32050958540630E+10,4.43524181204377E+10,0
Lesotho,LSO,3.45793084138317E+07,3.56992860142797E+07,4.18591628167437E+07,4.70390592188156E+07,5.19389612207756E+07,5.48789024219516E+07,5.66988660226795E+07,5.92608147837043E+07,6.14447711045779E+07,6.59666806663867E+07,6.87386252274954E+07,7.64821029082774E+07,8.09158319240276E+07,1.21181556195965E+08,1.50846210448859E+08,1.49560513860717E+08,1.47654093836247E+08,1.93307267709292E+08,2.66559337626495E+08,2.90142517814727E+08,4.31561376476631E+08,4.34188034188034E+08,3.26947872536379E+08,3.55443856027287E+08,3.02989222531011E+08,2.47678018575851E+08,2.90590809628009E+08,3.69351669941061E+08,4.29733890477238E+08,4.51443169253060E+08,5.44583156185985E+08,6.08771230941948E+08,7.20546984572230E+08,7.21608470789852E+08,7.55041117494649E+08,8.59088528025144E+08,8.15946782034285E+08,8.59809027777778E+08,8.19420074887398E+08,8.01538587445781E+08,7.71261702566698E+08,7.06400237476854E+08,6.56752925851161E+08,9.69167242460273E+08,1.23421538485355E+09,1.36835256416255E+09,1.42885297469513E+09,1.59749947406350E+09,1.63067219901279E+09,1.70878773628315E+09,2.17569220716078E+09,2.48736397475462E+09,2.32821573620033E+09,2.33498964803313E+09,0
Liberia,LBR,1.90495648000000E+08,1.83920944000000E+08,1.91861808000000E+08,2.00229616000000E+08,2.18929096000000E+08,2.29260776000000E+08,2.44459452000000E+08,2.61024284000000E+08,2.76820652000000E+08,3.06961824000000E+08,3.23099728000000E+08,3.41543056000000E+08,3.68098032000000E+08,3.86968288000000E+08,4.86955024000000E+08,5.77549312000000E+08,5.96675728000000E+08,6.73010608000000E+08,7.17240448000000E+08,8.14067872000000E+08,8.54711504000000E+08,8.46514496000000E+08,8.63933152000000E+08,8.23374944000000E+08,8.48478336000000E+08,8.51296080000000E+08,8.40964416000000E+08,9.72800000000000E+08,1.03830000000000E+09,7.86300000000000E+08,3.84400000000000E+08,3.48000000000000E+08,2.23500000000000E+08,1.60400000000000E+08,1.32200000000000E+08,1.34800000000000E+08,1.59400000000000E+08,2.95900000000000E+08,3.59599999036319E+08,4.41800019378319E+08,5.29064646663830E+08,5.14999999999999E+08,5.36000000000001E+08,4.09000000000000E+08,4.66999999999999E+08,5.41999999999999E+08,6.04028581806190E+08,7.39026892226679E+08,8.50040458839631E+08,1.15514622978600E+09,1.29269647595873E+09,1.53775388457502E+09,1.73382840474142E+09,1.95096013773010E+09,0
Libya,LBY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89048981177385E+10,3.19927329723568E+10,3.38870479092746E+10,3.06600519105037E+10,2.86105497634685E+10,2.55413791866458E+10,2.78846153846154E+10,3.07008978748704E+10,2.72515345295892E+10,3.04843998956472E+10,3.38966008707706E+10,2.84203219515420E+10,1.98425196850394E+10,2.40625000000000E+10,3.33846153846154E+10,4.40000000000000E+10,5.64843750000000E+10,7.18032786885246E+10,9.31677018633540E+10,6.23604465709729E+10,7.47552889169561E+10,3.46993955236073E+10,8.18736625188238E+10,7.41995286724273E+10,0
Liechtenstein,LIE,0,0,0,0,0,0,0,0,0,0,9.00993607738710E+07,1.04889797836543E+08,1.24940284905398E+08,1.65928854016146E+08,1.93980461926317E+08,2.46389070123720E+08,2.72489354107335E+08,3.03493105419053E+08,4.36912093134986E+08,5.03173087228041E+08,5.34699256772624E+08,5.11647837146855E+08,5.22096760526820E+08,5.24023708331749E+08,5.02620920656533E+08,5.29073612453579E+08,7.79357946984700E+08,1.05284923131947E+09,1.16175767101756E+09,1.11998379143298E+09,1.42150890119317E+09,1.48416064017108E+09,1.63117661719198E+09,1.67308562279346E+09,1.94812889593238E+09,2.42852474969396E+09,2.50401300394010E+09,2.29839058438482E+09,2.47969857866241E+09,2.66410590118863E+09,2.48389059370545E+09,2.49180055877674E+09,2.68861788487480E+09,3.07080343147600E+09,3.45437426073671E+09,3.65835637780983E+09,3.98877584387205E+09,4.60234692340322E+09,4.92941491473469E+09,4.82616767636410E+09,0,0,0,0,0
Lithuania,LTU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05066950738054E+10,1.02870232462340E+10,8.56231102688874E+09,7.42459788434971E+09,6.95863694980629E+09,7.90489579098773E+09,8.42660000000000E+09,1.01287000000000E+10,1.12540500000000E+10,1.09713750000000E+10,1.14342000000000E+10,1.21592250000000E+10,1.41639491418999E+10,1.86087098565781E+10,2.26592945732621E+10,2.60853072218514E+10,3.02463616568291E+10,3.93259859308432E+10,4.74383630564474E+10,3.70500817230274E+10,3.67095115681234E+10,4.30830679940349E+10,4.23435591958302E+10,4.59319684736640E+10,0
Low & middle income,LMY,2.77052522077655E+11,2.66653533996918E+11,2.78770585948174E+11,2.99686777815258E+11,3.33454935410930E+11,3.68400699110757E+11,3.80934732629878E+11,3.91162212101593E+11,4.13829569804381E+11,4.62560103421807E+11,5.06200354513267E+11,5.45538405895198E+11,6.09640593130812E+11,7.70950842419531E+11,9.85082606916831E+11,1.08866910147309E+12,1.17764946612488E+12,1.32480929203756E+12,1.44187768243015E+12,1.71454506532404E+12,2.00335909753302E+12,2.15504018240957E+12,2.13998930278608E+12,2.09601045268430E+12,2.12625839117614E+12,2.23895998368960E+12,2.33860788283678E+12,2.41074140917706E+12,2.61163190316066E+12,2.77263032083944E+12,3.17244326183411E+12,3.22108605247895E+12,3.42768408135072E+12,3.70738952095823E+12,4.08502995624633E+12,4.60974898675492E+12,5.05796648167006E+12,5.35995007088702E+12,5.30486561536992E+12,5.24721837020160E+12,5.68303237881686E+12,5.69821697911030E+12,5.79594970557205E+12,6.50238039704637E+12,7.65586059718226E+12,9.03589367991708E+12,1.06420998381382E+13,1.31185120008649E+13,1.56291698509331E+13,1.55989948721705E+13,1.88971724435836E+13,2.18953362501718E+13,2.31174243904060E+13,2.45767773711020E+13,0
Low income,LIC,2.20125326458363E+10,2.27981150199935E+10,2.47395142236244E+10,2.94826032078597E+10,2.54525077145372E+10,2.95317333854022E+10,3.25289736227329E+10,3.29537924419147E+10,3.43341209035008E+10,3.84161881286198E+10,4.00629343687998E+10,4.27616328523028E+10,4.17046665864171E+10,5.08456484055695E+10,6.40719906815744E+10,8.05200571702472E+10,6.69842596913800E+10,7.48438696318374E+10,8.96992683983149E+10,9.99024389504858E+10,1.08690774183214E+11,1.08015249731558E+11,1.08902229858551E+11,1.02071111182148E+11,9.99155228963765E+10,1.04474658112510E+11,1.13137366209333E+11,1.20016867144192E+11,1.29619130192392E+11,1.30221648473577E+11,1.39193653062512E+11,1.41044302855802E+11,1.29696285237058E+11,1.28098619257005E+11,1.18919875139925E+11,1.36471199451404E+11,1.52564906133472E+11,1.58664672761352E+11,1.62436009979973E+11,1.61860667695017E+11,1.78895648884298E+11,1.68500044880372E+11,1.76500591398593E+11,1.93556315777912E+11,2.16795965431135E+11,2.42141298155838E+11,2.80350588530664E+11,3.36476578747432E+11,3.98214827588738E+11,4.28521911722211E+11,4.67336085583779E+11,5.20969124517014E+11,5.78104340870198E+11,6.29610060715547E+11,0
Lower middle income,LMC,8.68207847323218E+10,9.22865762735172E+10,9.46748351363760E+10,1.05685817738960E+11,1.20357953855996E+11,1.29167570375166E+11,1.14863448266015E+11,1.22092368861986E+11,1.31138802024418E+11,1.46299175501245E+11,1.61685050108917E+11,1.68405789764577E+11,1.82504368224502E+11,2.17001411694983E+11,2.76105703039894E+11,2.99610636152160E+11,3.37910549019315E+11,3.88699764999185E+11,4.33538991744408E+11,4.92073444677850E+11,6.14511387652770E+11,6.50379077835339E+11,6.56560498849203E+11,6.42817518137386E+11,6.34929589768851E+11,6.63894107700739E+11,6.91178260508773E+11,7.60939053511136E+11,7.97231027519973E+11,8.08754852841445E+11,8.66492794757890E+11,8.33015788528328E+11,8.72400408030304E+11,8.74287898619576E+11,9.51140752701106E+11,1.06700181055851E+12,1.16399020513274E+12,1.20085025644146E+12,1.07534847815823E+12,1.17227925529648E+12,1.24100817043875E+12,1.25377467083258E+12,1.34697326411671E+12,1.54309394910770E+12,1.76907944553835E+12,2.04169132343814E+12,2.42918515809035E+12,2.99972525064025E+12,3.33711665636063E+12,3.41622706317200E+12,4.30771611100504E+12,4.83395629235278E+12,5.01990547607290E+12,5.23259977920911E+12,0
Luxembourg,LUX,7.03925705942958E+08,7.04145671350213E+08,7.41509480796284E+08,7.91140595772755E+08,9.03158753943622E+08,9.21600736304026E+08,9.68440149470951E+08,9.74721762535327E+08,1.06644713082052E+09,1.23487898050200E+09,1.51904025816862E+09,1.58260965744944E+09,1.98162844835487E+09,2.71957234527013E+09,3.31744935791218E+09,3.25461094658331E+09,3.56748349007315E+09,3.94859133370850E+09,4.91686563340592E+09,5.74886860209136E+09,6.27282604497172E+09,5.26607768361582E+09,4.79575799046442E+09,4.71437672583826E+09,4.62498869030997E+09,4.76959786670290E+09,6.96659924146650E+09,8.67063976229065E+09,9.81402589138782E+09,1.04595704340704E+10,1.33159012554322E+10,1.44156890726521E+10,1.61709734002509E+10,1.65948915578358E+10,1.84458278273451E+10,2.17295758073344E+10,2.16305437133550E+10,1.94603378439332E+10,2.03401933763058E+10,2.22677453654379E+10,2.13030219274000E+10,2.09982102908277E+10,2.32859025032938E+10,2.90950338600451E+10,3.42093336561683E+10,3.70235785703626E+10,4.17790666433891E+10,4.92079861764555E+10,5.49639519118142E+10,5.01413252054580E+10,5.21436503829908E+10,5.89561274310826E+10,5.62923810763280E+10,6.01308476236353E+10,0
Macao SAR China,MAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02165471838063E+09,1.01658568726284E+09,1.18269347321523E+09,1.22207282096053E+09,1.37607526786671E+09,1.78673451403852E+09,2.08712277599803E+09,2.47880784095695E+09,2.99018051591709E+09,3.46494637223975E+09,4.58118587073434E+09,5.28021813480932E+09,5.86854601071570E+09,6.56067225097816E+09,6.62852568286805E+09,6.67455288469073E+09,6.18647568755405E+09,5.91695702496919E+09,6.10179493888536E+09,6.51427148814340E+09,7.00802641460895E+09,7.92637357223623E+09,1.02583244791391E+10,1.17925700157933E+10,1.45687095740036E+10,1.80546848542242E+10,2.07310228572408E+10,2.13132639331019E+10,2.83597061230951E+10,3.66347427989420E+10,4.29814977439852E+10,5.17530947642472E+10,0
Macedonia FYR,MKD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47182862190813E+09,4.69474480658659E+09,2.31661851475247E+09,2.55019495923946E+09,3.38127026742967E+09,4.44937552465113E+09,4.42215984842906E+09,3.73531219979553E+09,3.57104320236226E+09,3.67328816511436E+09,3.58688398895646E+09,3.43696138481241E+09,3.79130675766238E+09,4.75622162861111E+09,5.51425304338147E+09,5.98580905997008E+09,6.56054690004109E+09,8.15982562038900E+09,9.83403435106299E+09,9.31357396498007E+09,9.33867407831276E+09,1.03952223337584E+10,9.57648262800609E+09,1.01954041314530E+10,0
Madagascar,MDG,6.73081724075966E+08,6.99161943856733E+08,7.39286906851163E+08,7.59345862970929E+08,8.02482182923768E+08,8.33563472161911E+08,9.00264583687729E+08,9.56436931141842E+08,1.03166963636062E+09,1.05639105453794E+09,1.11185956977066E+09,1.19950762999222E+09,1.34159068158600E+09,1.65306234736378E+09,1.91750819004689E+09,2.28304923328581E+09,2.18184419392388E+09,2.35893040642896E+09,2.66975511550372E+09,3.46356588142215E+09,4.04213990136379E+09,3.59486820841664E+09,3.52619807009789E+09,3.51157399189606E+09,2.93948547150097E+09,2.85788971248080E+09,3.25828889058647E+09,2.56563438228729E+09,2.44250758838468E+09,2.49805901477295E+09,3.08147980028735E+09,2.65314195852585E+09,3.02445929388938E+09,3.37084221090955E+09,2.97704088423097E+09,3.15990110851109E+09,3.99502842883824E+09,3.54577681320358E+09,3.73870458203298E+09,3.71751528253319E+09,3.87767363458854E+09,4.52957523298509E+09,4.39725471488337E+09,5.47403022759457E+09,4.36393441653802E+09,5.03929294696233E+09,5.51588443437392E+09,7.34292361971527E+09,9.41300273730578E+09,8.55036382909605E+09,8.72993613574487E+09,9.89270235756691E+09,9.91978022193198E+09,1.06134940313832E+10,0
Malawi,MWI,1.62960130465802E+08,1.74580139768776E+08,1.83120146605902E+08,1.90820152770523E+08,1.94740155908875E+08,2.29460183705713E+08,2.60400208476282E+08,2.69812781798470E+08,2.45160098113071E+08,2.65800106373203E+08,2.90520116266151E+08,3.65389567216359E+08,4.06084197385471E+08,4.44302221260027E+08,5.48618789944230E+08,6.13196872560739E+08,6.70309252982480E+08,8.06265763845459E+08,9.48983346706692E+08,1.05829763716218E+09,1.23766210619397E+09,1.23768692481183E+09,1.18009406148178E+09,1.22322504997144E+09,1.20802610522578E+09,1.13134997361292E+09,1.18367177092928E+09,1.18307137749194E+09,1.37992380824718E+09,1.59020166918874E+09,1.88078419328064E+09,2.20353604102290E+09,1.79952936875373E+09,2.07064713001298E+09,1.18180191508979E+09,1.39745412306868E+09,2.28103909871225E+09,2.66323898109817E+09,1.75058520464653E+09,1.77592003908836E+09,1.74350628664581E+09,1.71650206929157E+09,2.66515894289670E+09,2.42465666606540E+09,2.62512709771980E+09,2.75499587660249E+09,3.11678965789251E+09,3.64781721857435E+09,4.27676971229181E+09,5.03063993435772E+09,5.39861698459149E+09,5.62789803656304E+09,4.24049284882334E+09,3.70538678960511E+09,0
Malaysia,MYS,2.44102046196574E+09,2.42272454502623E+09,2.54381083068455E+09,2.70847491940261E+09,2.89975138778472E+09,3.18785127402843E+09,3.39276768716149E+09,3.51585093649868E+09,3.66720974197392E+09,4.05076301635468E+09,4.27666528575357E+09,4.51433471505719E+09,5.36435795545827E+09,8.15068876048274E+09,1.01008636107616E+10,9.89035922508049E+09,1.17535748701705E+10,1.39752786682126E+10,1.66583224586295E+10,2.16026450982363E+10,2.49370451141549E+10,2.54630384286775E+10,2.72871635231103E+10,3.06825633701165E+10,3.45658491688384E+10,3.17722442365624E+10,2.82431030197412E+10,3.21816956587954E+10,3.52718819958247E+10,3.88485659301651E+10,4.40238082151766E+10,4.91338515115406E+10,5.91516841231795E+10,6.68944480891039E+10,7.44811948987163E+10,8.88324543517055E+10,1.00851389334173E+11,1.00168846973444E+11,7.21755683058018E+10,7.91481588879154E+10,9.37894736842105E+10,9.27839473684211E+10,1.00845526315789E+11,1.10202368421053E+11,1.24749736842105E+11,1.43533152129483E+11,1.62691922355145E+11,1.93552511883591E+11,2.30988518916093E+11,2.02251384991501E+11,2.47533525517698E+11,2.89548374436865E+11,3.05263811733187E+11,3.13159097400743E+11,0
Maldives,MDV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24635761589404E+07,4.47814569536424E+07,4.79358437935844E+07,5.78297872340426E+07,1.09503546099291E+08,1.27154929577465E+08,1.41902097902098E+08,1.41268980477223E+08,1.68610478359909E+08,1.89535398230089E+08,2.15089005235602E+08,2.44468292682927E+08,2.84853358561968E+08,3.22326642335766E+08,3.55884383088870E+08,3.98988954970263E+08,4.50382327952421E+08,5.08223603228547E+08,5.40096400169924E+08,5.89239757009346E+08,6.24337143585387E+08,8.02442810457516E+08,8.28240882492352E+08,9.49867661833266E+08,1.07560549218297E+09,9.92473987301945E+08,1.30337580606689E+09,1.54197855862324E+09,1.89163353116451E+09,1.98463964086858E+09,2.13410488370140E+09,2.16299012620789E+09,2.11317930361211E+09,2.29984316736840E+09,0
Mali,MLI,0,0,0,0,0,0,0,2.75494477836101E+08,3.43771973185940E+08,3.39913866756618E+08,3.59772314994898E+08,4.30096741954649E+08,4.86617279362262E+08,5.63683703008579E+08,5.38747340567246E+08,8.30710613969321E+08,9.39228016013939E+08,1.04983854991245E+09,1.22270257175657E+09,1.59542295390213E+09,1.78733810526429E+09,1.49365110601184E+09,1.32737889951094E+09,1.29445806991867E+09,1.31134283135984E+09,1.31368500754614E+09,1.67832828856336E+09,1.93154534021897E+09,1.94779415527683E+09,2.00778467259999E+09,2.42117249658602E+09,2.42284026874081E+09,2.85258175530527E+09,2.67796690501596E+09,1.76270305926754E+09,2.46616021533319E+09,2.61908642760676E+09,2.47518555941167E+09,2.59682833569789E+09,2.57042965490050E+09,2.42248231756719E+09,2.62973906746746E+09,3.34282425982493E+09,4.36243988671990E+09,4.87417841719164E+09,5.30531755472495E+09,6.12264401478684E+09,7.14539401523154E+09,8.73768735270079E+09,8.96448057032521E+09,9.42226725998940E+09,1.06475456701763E+10,1.03407941101366E+10,1.09427273095296E+10,0
Malta,MLT,0,0,0,0,0,0,0,0,0,0,2.50728829112117E+08,2.64578308927222E+08,2.95106775012466E+08,3.45616069513506E+08,3.76081181817504E+08,4.74618292692559E+08,5.27936892800231E+08,6.25563347403691E+08,7.93673674476254E+08,1.00128824508798E+09,1.25019905641834E+09,1.24350985829479E+09,1.23447474204426E+09,1.16573017287418E+09,1.10180730090927E+09,1.11779722484509E+09,1.43503803742227E+09,1.75129321565363E+09,2.01950379123407E+09,2.11865529963572E+09,2.54733028404418E+09,2.75021501602264E+09,3.02194463233295E+09,2.70919476569239E+09,2.99850439177827E+09,3.59968339546889E+09,3.67182786097980E+09,3.63346475030678E+09,3.80961958384110E+09,3.90794793746914E+09,3.95741808279925E+09,3.91762072792241E+09,4.29616476828161E+09,5.11962156932049E+09,5.64352528193441E+09,5.98079575574103E+09,6.39012359013841E+09,7.51383469960697E+09,8.55429372708674E+09,8.09940096097627E+09,8.16384105960265E+09,9.30205726994718E+09,8.86307692307692E+09,9.64232607541158E+09,0
Marshall Islands,MHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10200000000000E+07,3.49180000000000E+07,4.17490000000000E+07,4.51440000000000E+07,4.38790000000000E+07,5.59890000000000E+07,6.29830000000000E+07,7.06880000000000E+07,7.27980000000000E+07,7.84760000000000E+07,8.25070000000000E+07,9.10630000000000E+07,9.94610000000000E+07,1.08071000000000E+08,1.20230000000000E+08,1.10858000000000E+08,1.06289109336000E+08,1.08702067992500E+08,1.07978893139200E+08,1.10937729412600E+08,1.15152142737300E+08,1.24735071905400E+08,1.26887585451700E+08,1.31106365539600E+08,1.37744500000000E+08,1.43615000000000E+08,1.50041700000000E+08,1.52785100000000E+08,1.52116100000000E+08,1.63917000000000E+08,1.72956700000000E+08,1.84358700000000E+08,1.90914600000000E+08,0
Mauritania,MRT,9.26092436889684E+07,1.07726205643520E+08,1.11148610793216E+08,1.13797382615723E+08,1.51897202546491E+08,1.72767212410801E+08,1.80340652907946E+08,1.91221776831632E+08,2.10695182692288E+08,1.99643447641197E+08,2.09348256001325E+08,2.27051055184993E+08,2.65009396653643E+08,3.33731886122433E+08,4.14772366009093E+08,4.75916497696280E+08,5.24407949855849E+08,5.40635401242895E+08,5.44424587056594E+08,6.44070390586697E+08,7.09041462208777E+08,7.47994670344005E+08,7.50214401613315E+08,7.88371840318764E+08,7.26937308885277E+08,6.83193876889148E+08,8.02890746890756E+08,9.09820596846435E+08,9.57377548471449E+08,9.81529430109210E+08,1.01960078527212E+09,1.44368886996039E+09,1.46439241614671E+09,1.24994499942056E+09,1.31593264495246E+09,1.41529670411812E+09,1.44259843100960E+09,1.40194685320672E+09,1.22243150321526E+09,1.19462923098218E+09,1.08120767752664E+09,1.12156403789709E+09,1.14965588095346E+09,1.28517826597727E+09,1.49646037886792E+09,1.85783564313107E+09,2.69918175465376E+09,2.83753327009211E+09,3.58528479160448E+09,3.02702049619272E+09,3.52694760888326E+09,4.13608363809827E+09,3.95870264007821E+09,4.15818290424541E+09,0
Mauritius,MUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06988627655376E+08,8.27093630324683E+08,1.01963497835642E+09,1.21622780546353E+09,1.13654423136451E+09,1.14718756765208E+09,1.08293440219357E+09,1.09485735969514E+09,1.04492609746651E+09,1.08064320228309E+09,1.46905065808639E+09,1.88875220710700E+09,2.14348049718502E+09,2.19110165123305E+09,2.65348595213319E+09,2.85688916209058E+09,3.22426582418732E+09,3.26336378782618E+09,3.55814364214256E+09,4.04034205956741E+09,4.42195212148670E+09,4.18737588765947E+09,4.16967297423128E+09,4.29117139571086E+09,4.58256239794313E+09,4.53654469905727E+09,4.76730315304439E+09,5.60983635356371E+09,6.38569131522535E+09,6.28379615476327E+09,6.73153624419443E+09,7.79206356651501E+09,9.64107709819803E+09,8.83466104293519E+09,9.71823391068203E+09,1.12524058601091E+10,1.14420965058236E+10,1.19292508143322E+10,0
Mexico,MEX,1.30561649254480E+10,1.41539543490897E+10,1.52210532131887E+10,1.69363376676289E+10,2.00701347409317E+10,2.18297153438799E+10,2.43372334472110E+10,2.65563720811912E+10,2.93636328336558E+10,3.25157543139575E+10,3.55417114703873E+10,3.92008794158614E+10,4.51781193267936E+10,5.52713031763935E+10,7.19765429274660E+10,8.80039826886386E+10,8.90239160668009E+10,8.18257805638082E+10,1.02517450025753E+11,1.34540322292806E+11,1.94356825709199E+11,2.50083027275130E+11,1.73720847690773E+11,1.48866911934175E+11,1.75632163244416E+11,1.84473097296041E+11,1.29440191340197E+11,1.40263673924031E+11,1.83144276294090E+11,2.22977042346502E+11,2.62709785592711E+11,3.14453895611752E+11,3.63609268789416E+11,5.03962814551767E+11,5.27318769550830E+11,3.43792780638899E+11,3.97404138184313E+11,4.80554647428728E+11,5.02010268264169E+11,5.79459682094357E+11,6.83647980782407E+11,7.24703571306821E+11,7.41559499084745E+11,7.13284260879765E+11,7.70267585947191E+11,8.66346483685297E+11,9.66735935557751E+11,1.04339494006771E+12,1.09907312365495E+12,8.95313142212023E+11,1.05162794932700E+12,1.17008555689586E+12,1.18646089012993E+12,1.26091466097714E+12,0
Micronesia Fed. Sts.,FSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06500000000000E+08,0,0,1.12210000000000E+08,1.16700000000000E+08,1.24700000000000E+08,1.35200000000000E+08,1.47200000000000E+08,1.66200000000000E+08,1.78100000000000E+08,1.98400000000000E+08,2.02500000000000E+08,2.22103600000000E+08,2.18845700000000E+08,2.06900300000000E+08,2.19646200000000E+08,2.20660500000000E+08,2.33226300000000E+08,2.40051900000000E+08,2.41543400000000E+08,2.44991000000000E+08,2.39563300000000E+08,2.49845600000000E+08,2.52991200000000E+08,2.55890800000000E+08,2.61339600000000E+08,2.77510900000000E+08,2.94117200000000E+08,3.10287500000000E+08,3.26161000000000E+08,3.16245700000000E+08,0
Middle East & North Africa (all income levels),MEA,0,0,0,0,0,0,0,0,3.20167835821187E+10,3.56619098395456E+10,3.93871546508188E+10,4.60772693133103E+10,5.59908014093003E+10,7.53797173190675E+10,1.38120803938625E+11,1.51260385440081E+11,1.88283945301116E+11,2.17604314693583E+11,2.32348757781698E+11,3.05571939375595E+11,3.96836100459014E+11,4.10937777262661E+11,4.07934989316454E+11,4.10689617072871E+11,4.16627694135509E+11,4.22746092797331E+11,4.31403405856366E+11,4.01724524935996E+11,3.98225377601923E+11,4.11241203697931E+11,5.38047365643405E+11,5.38928236017794E+11,5.86135479947870E+11,5.90098173754612E+11,6.13531294639433E+11,6.98161920516074E+11,7.87489276168452E+11,8.18114917299499E+11,7.96317218970734E+11,8.46525477858309E+11,9.48161355351318E+11,9.46913333767694E+11,9.47456748476099E+11,1.06103618937600E+12,1.23717668534382E+12,1.48434242363998E+12,1.73977578009863E+12,2.05664672674486E+12,2.59521807392377E+12,2.31015068852833E+12,2.68901951933081E+12,3.20906913988335E+12,3.44029740879116E+12,3.44235027040593E+12,0
